doc_type,aid,status,cat_ids_tried,rows_recovered,best_cat_id,best_classification,best_fields_count,best_file,missing_job_ids
1008/LT/VALA and 1003 Corrections,3d102e71-41a4-4533-adf7-07ed865e7de6,skipped_no_cat,,0,,,0,,
1008/LT/VALA and 1003 Corrections,399f7e5b-921b-41be-bce8-69ef73d305f7,skipped_no_cat,,0,,,0,,
ID Customer Identification Documentation,8a3bd9de-a553-461b-9e34-690ca060b4f0,skipped_no_cat,,0,,,0,,
Evidence of Hazard Insurance,466ff7d7-dbd0-4c89-be80-69a8bca73ffe,swallowed_by_worker,1561,0,,,0,,7e534bf8-a91a-494e-b800-ae7b1f945cbc
Tax Summary,d6c9d417-5ad3-47a4-986a-0ece43ecf145,skipped_no_cat,,0,,,0,,
Tax Summary,725b3008-c5c9-43f4-acee-628468724952,skipped_no_cat,,0,,,0,,
Closing Protection Letter (CPL),7020a81a-92d4-4f9b-b811-00c5dd767c67,swallowed_by_worker,167,0,,,0,,1e77ab83-5675-4b92-aa4c-b813b162c95f
Closing(Miscellaneous),f4b484fb-ec57-4012-82ae-254e7f150a11,skipped_no_cat,,0,,,0,,
Escrow Wire Instructions,bd537476-6d16-4360-96db-86120497c5a1,skipped_no_cat,,0,,,0,,
Estimated Settlement Statement,47a80702-db0f-4986-aa2c-b4f3e29a8654,recovered_1_of_1_posts,1036,1,,Settlement Statement,1,2604964148_Settlement_Statement_47a80702_cat91f990bc_20260506_175941.json,
Estimated Settlement Statement,b8a29351-77e0-44e3-809b-73120b2a7995,swallowed_by_worker,1036,0,,,0,,20645dc8-ee08-4552-895e-766b01fa66ed
Title Report,b665f46f-0c74-4fbb-a719-2addf55964da,skipped_no_cat,,0,,,0,,
Title Report,2e470a6d-8b5a-4ce2-bcf5-ad502015b0e8,skipped_no_cat,,0,,,0,,
Bank Statements,406c7392-9199-473c-a212-6fb60e3b247f,swallowed_by_worker,502,0,,,0,,eb9a2ab7-fe7c-470c-9dbf-55c10cff68fa
Purchase Agreement,080df60a-05ae-4a7f-9530-dfd6de817ae2,recovered_1_of_1_posts,200,1,,Purchase Contract,5,2604964148_Purchase_Contract_080df60a_cat09457da1_20260506_175941.json,
Assets(Miscellaneous),226686c2-dc55-444c-9e7b-ff3dae744baa,skipped_no_cat,,0,,,0,,
VOE - non service provider,dab04cf1-cd2d-49ed-8d1d-57a00e78d49e,recovered_1_of_1_posts,436,1,,Verification of Employment,11,2604964148_Verification_of_Employment_dab04cf1_cat2cad21cd_20260506_175941.json,
VOE - non service provider,ca435d98-a0eb-4c2e-9b38-5b5f08a9ea43,swallowed_by_worker,436,0,,,0,,d3c08ada-b172-42f9-ac45-85185f352b34
Credit Report,55c75c02-ce7a-499c-92d9-9cc265556f6b,swallowed_by_worker,117,0,,,0,,7fdd1c41-35ff-4de8-80a4-54db1589ed22
Flood Certificate,3b86df22-1186-446a-8cbf-478bcc521838,recovered_1_of_1_posts,538,1,,Flood Certification,3,2604964148_Flood_Certification_3b86df22_cat15e7b1c4_20260506_175941.json,
Loan Estimate,0537dfac-29f4-4923-b473-e4931c4d158d,swallowed_by_worker,984,0,,,0,,6de353a3-d425-4d18-b5c2-ae59b511a3d8
Loan Estimate,c4957290-44bb-4a56-b1d5-520e051e71cc,swallowed_by_worker,984,0,,,0,,5781610b-8052-46b1-8aa3-addbe3542b86
1003,0f58684e-d26d-4d39-b169-1e8e60da57f0,recovered_3_of_1_posts,349,3,,URLA 1003,67,2604964148_URLA_1003_0f58684e_cat2e45e16e_20260506_175941.json,
Borrower's Certification & Authorization,f93d6dcc-4258-43a0-acfe-5c23290a45d4,skipped_no_cat,,0,,,0,,
MD Notice Regarding Right for Assumption Under Certain Circumstances,9d39417f-1c8f-4503-a3f3-d7f8d080a4ca,skipped_no_cat,,0,,,0,,
Lock Confirmation Document,cfd28f4b-c579-4144-93b4-cf69b642edce,recovered_1_of_1_posts,339,1,,Lock Confirmation,10,2604964148_Lock_Confirmation_cfd28f4b_cat29e877a8_20260506_175941.json,
Bank Statements,cef073ad-590e-4653-be4a-aec54b15a342,swallowed_by_worker,502,0,,,0,,b3657c0a-2024-43b5-b1f3-bef538bd8bbd
Earnest Money Deposit (EMD),886530d9-51ea-4f69-ab14-e30eaf8cc0ba,recovered_1_of_1_posts,1781,1,,Proof of Earnest Money,1,2604964148_Proof_of_Earnest_Money_886530d9_cat89934dcb_20260506_175941.json,
Purchase Agreement Addendums,68138086-8c0a-41f2-bca6-7488ef5eb707,swallowed_by_worker,821,0,,,0,,df32a346-8de0-4402-b47b-6c7bbe76f36a
Closing Disclosure,9c458266-d3f7-47a6-9794-381e683c7d3f,recovered_1_of_1_posts,819,1,,Closing Disclosure,3,2604964148_Closing_Disclosure_9c458266_catb7d53036_20260506_175941.json,
Condo Documentation,c8ea3026-bf13-4a39-a0c6-6e0d300f8948,skipped_no_cat,,0,,,0,,
Condo Documentation,a5542cc6-6948-4085-b012-204f9fa45475,skipped_no_cat,,0,,,0,,
Condo Documentation,03a6f94a-d39d-4062-a4a0-bbe25347a8fe,skipped_no_cat,,0,,,0,,
